Year Month Tmax Tmin PAR Prec CO2 O3
1200-1948 1 5.02505928560183 -1.02320894708595 85.6840224934492 464.971760809005 304.8328305881 0
1200-1948 2 10.2578965848261 1.36612574469315 238.113063338724 20.1579437718301 304.89121413196 0
1200-1948 3 11.2027818581868 3.33704482423035 244.219634806318 185.862740338198 304.949671530281 0
1200-1948 4 10.3996130588401 2.29745341343952 300.588603202331 196.871768301844 305.008203090867 0
1200-1948 5 16.7145136514203 5.7882023304753 464.875007568854 68.5098859314139 305.066809122567 0
1200-1948 6 23.5581070551208 9.31611692584695 668.358859339009 27.3490063899921 305.125489932601 0
1200-1948 7 29.7808514509344 12.8565245531661 752.251603130222 5.40404150488118 305.184245830169 0
1200-1948 8 23.832818122326 9.53735877968665 616.544644364966 21.4847321322251 305.243077122141 0
1200-1948 9 24.009020179408 9.92257581611903 464.370111045823 7.5550576073109 305.301984118181 0
1200-1948 10 21.3820204201455 9.88003858230174 311.160084318221 34.1611314575769 305.360967125045 0
1200-1948 11 10.5362260234858 5.3048391682527 91.2469202390122 366.531787937484 305.420026452048 0
1200-1948 12 5.54929979486783 -1.53676072822521 121.997310679627 270.734425625427 305.479162406758 0
1949 1 2.09802740106678 -4.84538492087613 94.5270381015932 392.738589209753 305.538375297212 0
1949 2 5.21494524391297 -0.778260775779131 120.388133971487 20.1579437718301 305.59766543156 0
1949 3 8.81412399134437 1.42531226483502 199.311109830215 346.896467427461 305.657033118303 0
1949 4 9.57912634017047 1.91844551270885 246.224775399562 279.570582241449 305.716478665709 0
1949 5 11.5625620754327 2.37014922928568 376.357912361933 169.946249499433 305.77600238123 0
1949 6 16.8982031275287 3.96997214804913 628.530182258525 11.8426420814232 305.835604573949 0
1949 7 27.0813827450875 12.2759276913831 659.592314113822 19.7237636999647 305.895285550854 0
1949 8 27.4532148217959 12.946155166078 599.159542489934 27.1936092050957 305.955045621144 0
1949 9 22.7990935227291 9.10012115306278 480.712475216477 5.34261602893875 306.014885092853 0
1949 10 18.6522979861542 7.41142184618823 294.126070414272 37.3763494234301 306.074804274016 0
1949 11 9.33439546176329 3.26762073354502 81.853116454328 481.128025354521 306.134803472436 0
1949 12 7.01173369701803 1.83471937420426 71.2600295540874 386.459327462647 306.194882996497 0
1950 1 9.81134535429622 3.04795545689566 115.143421489294 205.427266270796 306.25504315435 0
1950 2 4.73276868534486 -2.30194511700155 165.848329862336 206.644911826079 306.315284254262 0
1950 3 10.2433472904119 2.51921731229798 211.324362198135 164.753998324756 306.375606604386 0
1950 4 13.7480560406396 4.69069964955693 329.302704104284 152.50261669576 306.436010512523 0
1950 5 18.1349827607967 7.08242217351269 452.5501886517 62.1614007112602 306.496496287175 0
1950 6 18.5573998238811 6.46543648787042 566.033206231161 27.7310383602987 306.557064236724 0
1950 7 27.9827382337482 12.4984934778624 661.838198563904 15.3896405296504 306.61771466909 0
1950 8 24.5401753798856 10.1821816131443 588.008067589121 24.249237757434 306.678447892074 0
1950 9 23.3769283069503 9.29489755072007 488.781470300055 33.3242480837154 306.739264214528 0
1950 10 13.2150525700327 4.65500189531597 193.836948501835 219.137602930362 306.80016394367 0
1950 11 8.23599140997065 1.6285414333193 119.262955586758 187.142206097385 306.86114738835 0
1950 12 7.87686483051144 2.17224828092717 58.1844897912892 589.463399658545 306.922214856721 0
1951 1 10.7229769825332 5.34594008962365 81.7312230816501 398.416410029623 306.983366657281 0
1951 2 8.6320247144995 1.29513345952051 154.112408600185 193.582517280743 307.044603096903 0
1951 3 7.11092951965293 0.0121499391275548 194.654052119926 353.391508014194 307.105924485018 0
1951 4 14.2491043661925 3.26394796762659 413.194718515967 132.732351929246 307.167331128963 0
1951 5 14.7650033104881 4.78915821425911 417.68340871669 63.5604207341619 307.22882333782 0
1951 6 20.1171543928107 6.7775403242549 609.692853762105 20.8988873297416 307.290401419043 0
1951 7 27.857917608978 11.7060225152788 718.499689199041 10.5816660223112 307.352065680665 0
1951 8 25.2395941279599 9.81073053591927 659.207793699119 17.1224198994684 307.413816430955 0
1951 9 24.2392144945607 10.5179948548507 462.353586691905 12.9612521662389 307.475653978763 0
1951 10 14.9642226973259 5.06654003463628 271.643328611445 82.0403758790125 307.537578631192 0
1951 11 11.1438301274253 4.14865382250233 139.755439741194 260.626068210256 307.599590697442 0
1951 12 8.31616000868621 2.32820465733266 91.6214589724962 413.765699691966 307.661690484965 0
1952 1 9.66752962254528 3.46831400602844 111.618854546415 345.659329337622 307.723878301797 0
1952 2 8.71365412523364 2.59480006832051 114.262881931899 238.426693702463 307.78615445632 0
1952 3 12.3327596462588 4.12822095416562 230.367906983337 166.602100883217 307.848519257153 0
1952 4 13.2618519335959 2.83068743555403 398.851943438998 77.3198272221996 307.910973012447 0
1952 5 20.8423137145878 7.73830685266113 537.10684825659 19.019117163755 307.973516029189 0
1952 6 22.0008190053375 8.31763651622236 619.290717514227 19.0308613451663 308.036148616811 0
1952 7 26.5235405912032 11.3457007347176 667.681569880665 19.9044629517773 308.09887108265 0
1952 8 26.2215732530685 10.3246643003637 628.306874099731 3.08709348293517 308.161683735671 0
1952 9 25.4423886612526 10.8080203378669 470.545175700074 20.9368827170259 308.224586883327 0
1952 10 12.4024573764278 3.13802766495301 245.8442017601 177.237371623137 308.287580833887 0
1952 11 7.48474266044927 2.56123532795441 76.0481321402382 474.980275540218 308.350665895618 0
1952 12 6.35208943150808 -1.21175971554339 140.061119046283 181.387954589018 308.413842376671 0
1953 1 2.09802740106678 -4.84538492087613 94.5270381015932 392.738589209753 308.477110585547 0
1953 2 5.21494524391297 -0.778260775779131 120.388133971487 230.205083574792 308.540470830048 0
1953 3 8.81412399134437 1.42531226483502 199.311109830215 346.896467427461 308.60392341821 0
1953 4 9.57912634017047 1.91844551270885 246.224775399562 279.570582241449 308.667468658532 0
