Year Month Tmax Tmin PAR Prec CO2 O3
1200-1948 1 4.3901905986029 -1.65501780270932 82.413734372792 677.487846205493 304.8328305881 0
1200-1948 2 9.58908886065245 1.1293309578663 232.424777024598 26.1160043392189 304.89121413196 0
1200-1948 3 10.4369817093956 2.8656048807434 244.034627805892 241.023335209981 304.949671530281 0
1200-1948 4 9.74730162650977 1.72611231298017 308.444249969582 250.65026895827 305.008203090867 0
1200-1948 5 16.1081315351068 5.79430008833755 459.496888063066 91.2836417754324 305.066809122567 0
1200-1948 6 23.7230000290831 10.1251259949014 662.913898295937 28.271560287906 305.125489932601 0
1200-1948 7 29.848967815833 13.9349940248744 751.623984115989 5.1688187544341 305.184245830169 0
1200-1948 8 23.5198872165798 10.2045390342416 613.250295876964 30.3660534705294 305.243077122141 0
1200-1948 9 23.3424540603258 10.2869832305854 465.521116472907 5.63754945605184 305.301984118181 0
1200-1948 10 20.6119458646297 10.0082661781091 306.343505121302 49.5620141155919 305.360967125045 0
1200-1948 11 9.751534355608 4.7771493815848 83.0920024749657 531.070090206648 305.420026452048 0
1200-1948 12 5.02269754104925 -1.98351573997219 121.623339959675 337.009896192698 305.479162406758 0
1949 1 1.49272591247339 -5.25134481687964 95.104127728667 461.03888421252 305.538375297212 0
1949 2 4.28708830949749 -1.35518550992509 118.431021429607 26.1160043392189 305.59766543156 0
1949 3 8.18259766840111 0.770906603332071 203.161037741601 483.248811904641 305.657033118303 0
1949 4 9.21307642756044 1.43295324875139 251.208530500004 346.318593106182 305.716478665709 0
1949 5 10.9559881149238 1.82160391754799 379.660727786004 203.289864544687 305.77600238123 0
1949 6 16.4991836450956 3.82122753626088 633.722704924424 13.2643814697153 305.835604573949 0
1949 7 27.3865259647923 12.8706591310893 670.186547100762 21.9201422282592 305.895285550854 0
1949 8 27.8475482026528 14.0878109786473 596.779587725087 19.6820754625025 305.955045621144 0
1949 9 22.5350401061857 9.56718855442276 482.943204539708 5.21850303513777 306.014885092853 0
1949 10 17.9967456437744 7.57958229111002 294.339348243826 49.4488016999429 306.074804274016 0
1949 11 8.65850157679487 2.77297515930726 79.2102619570083 638.999452976913 306.134803472436 0
1949 12 6.30904817583784 1.41607393401864 65.9069122965386 562.683264685994 306.194882996497 0
1950 1 9.17601242314042 2.46842060946622 112.821580332574 272.503908625534 306.25504315435 0
1950 2 4.04706933835471 -2.74986084781356 163.33058157238 283.084005318752 306.315284254262 0
1950 3 9.31459237749404 1.90279433935461 208.417482662374 246.425974823493 306.375606604386 0
1950 4 13.0526156280096 4.31362438482391 321.784694092937 211.152406925808 306.436010512523 0
1950 5 17.8317347150028 7.10180666844576 441.136244874737 81.0190666825519 306.496496287175 0
1950 6 18.8172948034454 6.5785854207143 564.288907809846 25.2505381622698 306.557064236724 0
1950 7 27.7937597490476 13.2618874223522 667.316308476211 20.2440531353247 306.61771466909 0
1950 8 24.5044521414523 10.6271330591639 596.582980257684 29.4027579422908 306.678447892074 0
1950 9 22.5667570962843 9.41859016727714 490.647637533376 46.3655647656774 306.739264214528 0
