Year Month Tmax Tmin PAR Prec CO2 O3
1200-1948 1 4.8891180685111 -0.884024653833126 76.3449939954767 739.855690953633 304.8328305881 0
1200-1948 2 10.1685238438528 1.7900343277237 225.38779813838 29.7293728069887 304.89121413196 0
1200-1948 3 11.0744085544944 3.6185128547605 236.741841319845 259.750012182122 304.949671530281 0
1200-1948 4 10.2660290211402 2.37332830879348 291.324393953867 270.15945097289 305.008203090867 0
1200-1948 5 16.4875014735351 6.39907990907084 451.780031411724 102.187688881695 305.066809122567 0
1200-1948 6 23.9292843375556 10.4777378160982 651.278626038964 31.3137827529516 305.125489932601 0
1200-1948 7 30.0381643958307 14.162932216187 754.791184712219 3.8610493105808 305.184245830169 0
1200-1948 8 23.4512508164092 10.5950302603209 601.505533001666 37.6655935235733 305.243077122141 0
1200-1948 9 23.4481255768579 10.5253414681508 456.306178462039 4.97173928612799 305.301984118181 0
1200-1948 10 20.8561293486669 10.4894425440338 302.154699749971 53.3756323713877 305.360967125045 0
1200-1948 11 10.2570248645626 5.43848142502554 77.5146317889162 595.024691877315 305.420026452048 0
1200-1948 12 5.67106688644601 -1.2145880505208 119.387954124945 369.011801320442 305.479162406758 0
1949 1 2.09193626112422 -4.48349871188769 91.6155894363171 485.252725305015 305.538375297212 0
1949 2 4.70478885325856 -0.757971374102764 110.794215571688 29.7293728069887 305.59766543156 0
1949 3 8.82550738196933 1.540099871166 192.221143669075 539.557850364778 305.657033118303 0
1949 4 9.67466318176254 2.11151252324277 235.528746827051 373.716931829895 305.716478665709 0
1949 5 11.2541302419667 2.49464825076411 355.192545987319 222.706312110952 305.77600238123 0
1949 6 16.3377807234952 4.32012804416759 608.576700104237 16.7524963776274 305.835604573949 0
1949 7 27.6283801132459 13.347378116446 665.398442852291 20.2484228682976 305.895285550854 0
1949 8 28.108859276452 14.3364814225595 597.044967840144 18.3110113072123 305.955045621144 0
1949 9 22.9473193490192 9.9983137720578 481.365478796952 3.9997237167333 306.014885092853 0
1949 10 18.2612198769951 8.15113089345571 287.522470920808 56.9912278120597 306.074804274016 0
1949 11 9.37700615489499 3.42852262073538 75.2097341417375 690.789604919103 306.134803472436 0
1949 12 6.7729646889296 2.18015860855689 58.3243422538849 606.608229374037 306.194882996497 0
1950 1 9.82876347980704 3.1091247867176 105.350377888579 306.108576485346 306.25504315435 0
1950 2 4.51770793996543 -2.01715858685266 155.255935504679 313.247917615716 306.315284254262 0
1950 3 9.90704614057851 2.57783759045598 200.395448104846 271.247675885703 306.375606604386 0
1950 4 13.3265972756193 4.89924073493765 306.435715281431 223.94127270783 306.436010512523 0
1950 5 18.0232251162315 7.57029550718382 426.662647227748 85.7058724148238 306.496496287175 0
1950 6 18.8772969273543 6.93211378393634 560.369014242443 23.7538988288958 306.557064236724 0
1950 7 27.7510278060815 13.4260887441823 659.41921426393 24.8672471729697 306.61771466909 0
1950 8 24.4897150397732 10.9980759441863 579.565845865527 33.8995414080434 306.678447892074 0
1950 9 22.6813259217125 9.76107375627026 481.732748936883 51.2106563866797 306.739264214528 0
1950 10 12.8745839682941 4.90129576983898 173.909105544911 317.17479477635 306.80016394367 0
1950 11 7.81725590690773 1.99149331997958 99.1364728645046 265.321817271407 306.86114738835 0
1950 12 7.75176735387365 2.28651670281946 50.6543356410245 831.589811543162 306.922214856721 0
1951 1 10.7239916423385 5.48131396894588 72.4872759763883 659.227316161867 306.983366657281 0
1951 2 8.5530957869165 1.50781746677512 147.449174457438 238.565195885848 307.044603096903 0
1951 3 6.7382281817645 -0.00270325379306289 177.789972778475 493.411221942233 307.105924485018 0
1951 4 14.0035421185 3.70414467181459 403.364953753576 163.7339144051 307.167331128963 0
1951 5 14.5748194336953 5.20184833224182 400.758129827366 75.275267867948 307.22882333782 0
1951 6 19.969701503818 7.28651234444009 580.112493596085 27.2797894346192 307.290401419043 0
1951 7 28.0854817777711 12.9531853489283 720.915181296691 12.32554389448 307.352065680665 0
1951 8 24.6472687971439 10.3698360506636 655.251017999153 22.7680515158599 307.413816430955 0
1951 9 23.7411154160868 11.083882839809 447.228156927773 20.3031250458537 307.475653978763 0
1951 10 14.2998408935968 5.23293792633143 257.392961558948 112.471782409816 307.537578631192 0
1951 11 10.8943636320593 4.05489651908568 126.649356407582 385.238089618392 307.599590697442 0
1951 12 8.11648224998535 2.47247325445258 82.3342562458974 550.360444679625 307.661690484965 0
1952 1 9.77774667474712 4.02095795095894 104.540445513554 563.734011092969 307.723878301797 0
1952 2 8.55442961865256 2.71039322873868 98.3647078000942 439.112785143098 307.78615445632 0
1952 3 12.1498856217687 4.41180277518202 215.807876787813 211.497113422059 307.848519257153 0
1952 4 12.8720534518524 3.14247863465291 382.999113431499 102.450871779374 307.910973012447 0
1952 5 20.8419100404227 8.50994408939379 509.683176443282 22.1460674544342 307.973516029189 0
1952 6 22.031259761749 8.90249682728281 602.189286572282 23.7314282220099 308.036148616811 0
1952 7 26.805366063087 12.6160807464959 656.781534972958 29.4951829431896 308.09887108265 0
1952 8 26.958428433973 11.8099233437804 623.424812327832 3.5472511625994 308.161683735671 0
1952 9 24.6094500608932 11.7415090833375 453.813675739812 35.9537445489576 308.224586883327 0
1952 10 11.9601744861002 3.42554811193658 232.530149879518 258.442657777595 308.287580833887 0
1952 11 7.53194894096048 2.6385542464735 71.3983454054866 696.157541267292 308.350665895618 0
1952 12 6.30656981602629 -0.400798324241219 135.029149333325 270.042334994889 308.413842376671 0
1953 1 2.09193626112422 -4.48349871188769 91.6155894363171 485.252725305015 308.477110585547 0
