Year Month Tmax Tmin PAR Prec CO2 O3
1200-1948 1 1.82736893339199 -4.89129595238634 98.4432706047311 406.561709760666 304.8328305881 0
1200-1948 2 6.80374903119581 -2.12904067852515 245.579866694567 32.0009549295164 304.89121413196 0
1200-1948 3 7.62158379013433 -0.691010924030525 259.540511467658 202.557698785126 304.949671530281 0
1200-1948 4 7.76764628563158 -0.977399481469487 335.506868790524 164.905162203513 305.008203090867 0
1200-1948 5 14.065405681523 2.80758645722818 468.658766369165 60.4713079469045 305.066809122567 0
1200-1948 6 22.3919734116401 7.45808902442857 675.939969791888 24.2569859903197 305.125489932601 0
1200-1948 7 29.6494538111862 12.3425260231495 717.378727885079 12.9708554324404 305.184245830169 0
1200-1948 8 23.6229826349221 7.38583140629582 631.107566487462 12.4694371523406 305.243077122141 0
1200-1948 9 22.8198536870851 8.32663518814273 475.376662287168 11.8151229111211 305.301984118181 0
1200-1948 10 19.1381932347292 7.42151597177407 309.260446998816 26.3502164733511 305.360967125045 0
1200-1948 11 7.44326563249739 1.78595999660258 102.221715697546 313.637698183212 305.420026452048 0
1200-1948 12 1.67408953603015 -5.90636153716635 125.483085512731 213.011514050328 305.479162406758 0
1949 1 -1.71903447356614 -8.96918569756324 98.1481786046904 320.678278126841 305.538375297212 0
1949 2 2.08762985723939 -4.32379426192356 148.906196867447 32.0009549295164 305.59766543156 0
1949 3 5.37204230406106 -2.15855646785069 230.280832094246 275.27202712471 305.657033118303 0
1949 4 6.68905455277756 -1.27313694381402 281.708400624636 292.118159394034 305.716478665709 0
1949 5 9.54332742539305 -0.704767757255156 428.113945638847 130.602669335478 305.77600238123 0
1949 6 17.229913279097 2.23437933555494 691.351471153024 11.8239252461032 305.835604573949 0
1949 7 26.594078899227 11.0682979800262 661.615593970004 30.1802882160895 305.895285550854 0
1949 8 26.6407289948852 11.7331718461611 572.441424917707 24.470324680775 305.955045621144 0
1949 9 21.1256872700321 7.46809760882436 462.612191890838 11.0130657590824 306.014885092853 0
1949 10 16.6703057026085 5.03733325243849 307.42369330534 18.5552723247842 306.074804274016 0
1949 11 5.40411254876094 -0.436731870587649 88.14502097236 359.31200877687 306.134803472436 0
1949 12 3.68021165424232 -2.18543681137349 86.286695528242 302.269453372721 306.194882996497 0
1950 1 5.70963792328109 -0.876380496685134 121.545707757775 227.840522916665 306.25504315435 0
1950 2 1.24656754339414 -6.10928838008414 171.315014532551 184.706838760667 306.315284254262 0
1950 3 6.76151153855808 -1.13542748250024 234.621614303295 178.516134012418 306.375606604386 0
1950 4 11.6462029739157 1.97519777987591 353.308936872262 119.392890908852 306.436010512523 0
1950 5 17.0135176138835 5.09232118784886 460.102150547868 60.4125914798748 306.496496287175 0
1950 6 18.3076125671289 5.06470107456078 554.940411985158 46.9127409789483 306.557064236724 0
1950 7 28.1774236585707 11.2034610819493 664.334752024273 6.79088433844884 306.61771466909 0
1950 8 24.49266009454 8.56817070636821 623.206688082412 17.1254148812414 306.678447892074 0
1950 9 22.0981830247195 7.26559887860529 509.43766700924 20.8083751771143 306.739264214528 0
1950 10 10.9456601057385 1.58657383586446 208.791463250118 141.467616995467 306.80016394367 0
1950 11 5.58111435048145 -1.88540140791878 143.537817412807 123.788032136479 306.86114738835 0
1950 12 4.71877275544706 -1.39338898399191 70.8981681803725 463.637614640775 306.922214856721 0
1951 1 6.87120711871898 1.56230762228157 89.986053745553 355.524594553723 306.983366657281 0
1951 2 4.87541080098209 -2.24020098369375 167.900265757724 189.078863097693 307.044603096903 0
1951 3 3.98962139147917 -3.36112133320426 218.356240618846 357.898547892458 307.105924485018 0
1951 4 11.2904295907546 0.212725719428376 435.499677976994 100.629566751031 307.167331128963 0
1951 5 14.1968768795631 2.97609135214305 442.887390614134 66.5934845326768 307.22882333782 0
1951 6 19.8636341448336 5.01126762937304 635.010999196617 24.5424676766176 307.290401419043 0
1951 7 28.3423361257295 11.1557361545029 699.005299858242 7.09925953061278 307.352065680665 0
1951 8 26.4891664340876 8.86363311555374 683.542662131708 5.20130558433517 307.413816430955 0
1951 9 23.3319979704612 8.6980348952701 473.673248572835 13.772161617669 307.475653978763 0
1951 10 13.1891931817104 2.40056408815178 287.951657447548 53.7517428148045 307.537578631192 0
1951 11 7.39678293203542 0.724810240445327 153.277259941838 213.380669477712 307.599590697442 0
1951 12 4.67963871267861 -1.23262296893425 96.9844630106036 351.529306041073 307.661690484965 0
1952 1 6.01634671417227 -0.323792861865764 124.093728341186 294.637757084671 307.723878301797 0
1952 2 4.9592596081607 -1.34276668855174 137.21527004108 196.149851085646 307.78615445632 0
1952 3 9.25072804977487 0.672308784176477 237.24592404473 218.735628049554 307.848519257153 0
1952 4 11.4880824131496 0.227508259004551 412.709220565034 57.6812007495708 307.910973012447 0
1952 5 19.1686318144855 5.59730850717516 549.299286824541 20.5331540157549 307.973516029189 0
1952 6 21.2116831256272 6.53813168250861 652.364383845723 22.9254674418983 308.036148616811 0
1952 7 26.1843635264546 9.95310202790277 666.618174769805 17.4983434138297 308.09887108265 0
1952 8 26.3448668501929 9.08917103569985 620.249359323206 1.61109853394632 308.161683735671 0
1952 9 25.0105404664801 9.18647154813821 487.44529333482 10.4681418658098 308.224586883327 0
1952 10 10.5445995119143 0.526212411008064 262.659424829536 127.80950971343 308.287580833887 0
1952 11 3.43876797096871 -1.40861314840737 79.4077547620504 409.143118662648 308.350665895618 0
1952 12 2.60280063635971 -5.59743827021563 152.671787904725 159.85193459775 308.413842376671 0
